date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:32:36	151295/151295	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Dec%202024%2008:32:35%20GMT	https://showcase.ladi.me/6535e7c532948d0012d8a8a2	D:/TMDT/landing%20page/TIKTOKSHOP/showcase.ladi.me/6535e7c532948d0012d8a8a2.html	(from )
15:32:36	22/22	---M--	200	added ('OK')	text/plain	date:Fri,%2027%20Dec%202024%2008:32:36%20GMT	https://showcase.ladi.me/robots.txt		(from )
15:32:37	403052/403052	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2012%20Jul%202024%2019:02:51%20GMT	https://w.ladicdn.com/v2/source/ladipagev3.min.js?v=1695351697220	D:/TMDT/landing%20page/TIKTOKSHOP/w.ladicdn.com/v2/source/ladipagev3.minf1f1.js	(from https://showcase.ladi.me/6535e7c532948d0012d8a8a2)
15:32:37	700412/700412	---MCZ	200	added ('OK')	image/png	date:Thu,%2025%20Jul%202024%2006:33:13%20GMT	https://w.ladicdn.com/s750x750/5c7362c6c417ab07e5196b05/1-14-20230922093700-jbmfg.png	D:/TMDT/landing%20page/TIKTOKSHOP/w.ladicdn.com/s750x750/5c7362c6c417ab07e5196b05/1-14-20230922093700-jbmfg.png	(from https://showcase.ladi.me/6535e7c532948d0012d8a8a2)
15:32:38	301526/301526	---MCZ	200	added ('OK')	image/png	date:Thu,%2026%20Dec%202024%2004:21:54%20GMT	https://w.ladicdn.com/s400x400/5c7362c6c417ab07e5196b05/1-14-20230922093700-jbmfg.png	D:/TMDT/landing%20page/TIKTOKSHOP/w.ladicdn.com/s400x400/5c7362c6c417ab07e5196b05/1-14-20230922093700-jbmfg.png	(from https://showcase.ladi.me/6535e7c532948d0012d8a8a2)
15:32:38	593477/593477	---MCZ	200	added ('OK')	image/png	date:Thu,%2025%20Jul%202024%2006:33:18%20GMT	https://w.ladicdn.com/s750x750/5c7362c6c417ab07e5196b05/1-01-20230922093650-yhjhw.png	D:/TMDT/landing%20page/TIKTOKSHOP/w.ladicdn.com/s750x750/5c7362c6c417ab07e5196b05/1-01-20230922093650-yhjhw.png	(from https://showcase.ladi.me/6535e7c532948d0012d8a8a2)
15:32:38	279866/279866	---MCZ	200	added ('OK')	image/png	date:Wed,%2011%20Dec%202024%2008:15:00%20GMT	https://w.ladicdn.com/s400x400/5c7362c6c417ab07e5196b05/1-01-20230922093650-yhjhw.png	D:/TMDT/landing%20page/TIKTOKSHOP/w.ladicdn.com/s400x400/5c7362c6c417ab07e5196b05/1-01-20230922093650-yhjhw.png	(from https://showcase.ladi.me/6535e7c532948d0012d8a8a2)
15:32:38	347723/347723	---MCZ	200	added ('OK')	image/png	date:Thu,%2025%20Jul%202024%2006:33:22%20GMT	https://w.ladicdn.com/s750x750/5c7362c6c417ab07e5196b05/1-09-20230922093654-noozx.png	D:/TMDT/landing%20page/TIKTOKSHOP/w.ladicdn.com/s750x750/5c7362c6c417ab07e5196b05/1-09-20230922093654-noozx.png	(from https://showcase.ladi.me/6535e7c532948d0012d8a8a2)
15:32:38	157221/157221	---MCZ	200	added ('OK')	image/png	date:Mon,%2009%20Dec%202024%2003:18:06%20GMT	https://w.ladicdn.com/s400x400/5c7362c6c417ab07e5196b05/1-09-20230922093654-noozx.png	D:/TMDT/landing%20page/TIKTOKSHOP/w.ladicdn.com/s400x400/5c7362c6c417ab07e5196b05/1-09-20230922093654-noozx.png	(from https://showcase.ladi.me/6535e7c532948d0012d8a8a2)
15:32:38	405367/405367	---MCZ	200	added ('OK')	image/png	date:Thu,%2025%20Jul%202024%2006:33:27%20GMT	https://w.ladicdn.com/s750x750/5c7362c6c417ab07e5196b05/1-05-20230922093652-wevgw.png	D:/TMDT/landing%20page/TIKTOKSHOP/w.ladicdn.com/s750x750/5c7362c6c417ab07e5196b05/1-05-20230922093652-wevgw.png	(from https://showcase.ladi.me/6535e7c532948d0012d8a8a2)
15:32:39	183164/183164	---MCZ	200	added ('OK')	image/png	date:Mon,%2009%20Dec%202024%2003:18:06%20GMT	https://w.ladicdn.com/s400x400/5c7362c6c417ab07e5196b05/1-05-20230922093652-wevgw.png	D:/TMDT/landing%20page/TIKTOKSHOP/w.ladicdn.com/s400x400/5c7362c6c417ab07e5196b05/1-05-20230922093652-wevgw.png	(from https://showcase.ladi.me/6535e7c532948d0012d8a8a2)
15:32:39	448140/448140	---MCZ	200	added ('OK')	image/png	date:Thu,%2025%20Jul%202024%2006:33:33%20GMT	https://w.ladicdn.com/s750x750/5c7362c6c417ab07e5196b05/1-04-20230922093652-yzd5v.png	D:/TMDT/landing%20page/TIKTOKSHOP/w.ladicdn.com/s750x750/5c7362c6c417ab07e5196b05/1-04-20230922093652-yzd5v.png	(from https://showcase.ladi.me/6535e7c532948d0012d8a8a2)
15:32:39	191722/191722	---MCZ	200	added ('OK')	image/png	date:Wed,%2011%20Dec%202024%2008:15:08%20GMT	https://w.ladicdn.com/s400x400/5c7362c6c417ab07e5196b05/1-04-20230922093652-yzd5v.png	D:/TMDT/landing%20page/TIKTOKSHOP/w.ladicdn.com/s400x400/5c7362c6c417ab07e5196b05/1-04-20230922093652-yzd5v.png	(from https://showcase.ladi.me/6535e7c532948d0012d8a8a2)
15:32:39	938/938	---MCZ	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202024%2019:59:27%20GMT	https://w.ladicdn.com/s400x350/5c7362c6c417ab07e5196b05/tag-20230922023550-lber6.png	D:/TMDT/landing%20page/TIKTOKSHOP/w.ladicdn.com/s400x350/5c7362c6c417ab07e5196b05/tag-20230922023550-lber6.png	(from https://showcase.ladi.me/6535e7c532948d0012d8a8a2)
15:32:39	2610/2610	---MCZ	200	added ('OK')	image/png	date:Fri,%2012%20Jul%202024%2003:29:55%20GMT	https://w.ladicdn.com/s550x350/5c7362c6c417ab07e5196b05/1-20230922041846-a2w0l.png	D:/TMDT/landing%20page/TIKTOKSHOP/w.ladicdn.com/s550x350/5c7362c6c417ab07e5196b05/1-20230922041846-a2w0l.png	(from https://showcase.ladi.me/6535e7c532948d0012d8a8a2)
15:32:40	35795/35795	---MCZ	200	added ('OK')	image/jpeg	date:Mon,%2001%20Jul%202024%2020:18:31%20GMT	https://w.ladicdn.com/s350x350/5c7362c6c417ab07e5196b05/1l0ebod020230922031847.jpg	D:/TMDT/landing%20page/TIKTOKSHOP/w.ladicdn.com/s350x350/5c7362c6c417ab07e5196b05/1l0ebod020230922031847.jpg	(from https://showcase.ladi.me/6535e7c532948d0012d8a8a2)
15:32:40	181219/181219	---MCZ	200	added ('OK')	image/png	date:Thu,%2025%20Jul%202024%2002:06:07%20GMT	https://w.ladicdn.com/s400x450/5c7362c6c417ab07e5196b05/1-11-20230922093659-dgevd.png	D:/TMDT/landing%20page/TIKTOKSHOP/w.ladicdn.com/s400x450/5c7362c6c417ab07e5196b05/1-11-20230922093659-dgevd.png	(from https://showcase.ladi.me/6535e7c532948d0012d8a8a2)
15:32:40	135837/135837	---MCZ	200	added ('OK')	image/png	date:Thu,%2025%20Jul%202024%2006:33:55%20GMT	https://w.ladicdn.com/s400x450/5c7362c6c417ab07e5196b05/1-07-20230922093653-jynjv.png	D:/TMDT/landing%20page/TIKTOKSHOP/w.ladicdn.com/s400x450/5c7362c6c417ab07e5196b05/1-07-20230922093653-jynjv.png	(from https://showcase.ladi.me/6535e7c532948d0012d8a8a2)
15:32:40	18794/18794	---MCZ	200	added ('OK')	image/jpeg	date:Sat,%2006%20Jul%202024%2016:08:22%20GMT	https://w.ladicdn.com/s350x350/5c7362c6c417ab07e5196b05/1o8vbkda20230920035309.jpg	D:/TMDT/landing%20page/TIKTOKSHOP/w.ladicdn.com/s350x350/5c7362c6c417ab07e5196b05/1o8vbkda20230920035309.jpg	(from https://showcase.ladi.me/6535e7c532948d0012d8a8a2)
15:32:40	166189/166189	---MCZ	200	added ('OK')	image/png	date:Thu,%2025%20Jul%202024%2006:33:55%20GMT	https://w.ladicdn.com/s450x400/5c7362c6c417ab07e5196b05/1-16-20230922093732-zqxsa.png	D:/TMDT/landing%20page/TIKTOKSHOP/w.ladicdn.com/s450x400/5c7362c6c417ab07e5196b05/1-16-20230922093732-zqxsa.png	(from https://showcase.ladi.me/6535e7c532948d0012d8a8a2)
15:32:41	351459/351459	---MCZ	200	added ('OK')	image/png	date:Thu,%2025%20Jul%202024%2006:33:55%20GMT	https://w.ladicdn.com/s450x400/5c7362c6c417ab07e5196b05/1-15-20230922093731-ib83u.png	D:/TMDT/landing%20page/TIKTOKSHOP/w.ladicdn.com/s450x400/5c7362c6c417ab07e5196b05/1-15-20230922093731-ib83u.png	(from https://showcase.ladi.me/6535e7c532948d0012d8a8a2)
15:32:41	301526/301526	---MCZ	200	added ('OK')	image/png	date:Thu,%2025%20Jul%202024%2006:33:55%20GMT	https://w.ladicdn.com/s450x400/5c7362c6c417ab07e5196b05/1-14-20230922093730-9mam4.png	D:/TMDT/landing%20page/TIKTOKSHOP/w.ladicdn.com/s450x400/5c7362c6c417ab07e5196b05/1-14-20230922093730-9mam4.png	(from https://showcase.ladi.me/6535e7c532948d0012d8a8a2)
15:32:41	25558/25558	---MCZ	200	added ('OK')	image/jpeg	date:Fri,%2012%20Jul%202024%2001:51:52%20GMT	https://w.ladicdn.com/s350x350/5c7362c6c417ab07e5196b05/FbXDW9fB20230922033528.jpeg	D:/TMDT/landing%20page/TIKTOKSHOP/w.ladicdn.com/s350x350/5c7362c6c417ab07e5196b05/FbXDW9fB20230922033528.jpg	(from https://showcase.ladi.me/6535e7c532948d0012d8a8a2)
15:32:41	17550/17550	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2025%20Jul%202024%2006:33:56%20GMT	https://w.ladicdn.com/s400x400/5c7362c6c417ab07e5196b05/yzrqTFIW20230922034410.jpeg	D:/TMDT/landing%20page/TIKTOKSHOP/w.ladicdn.com/s400x400/5c7362c6c417ab07e5196b05/yzrqTFIW20230922034410.jpg	(from https://showcase.ladi.me/6535e7c532948d0012d8a8a2)
15:32:42	125912/125912	---MCZ	200	added ('OK')	image/png	date:Thu,%2025%20Jul%202024%2006:33:55%20GMT	https://w.ladicdn.com/s450x400/5c7362c6c417ab07e5196b05/1-13-20230922093729-jzdrr.png	D:/TMDT/landing%20page/TIKTOKSHOP/w.ladicdn.com/s450x400/5c7362c6c417ab07e5196b05/1-13-20230922093729-jzdrr.png	(from https://showcase.ladi.me/6535e7c532948d0012d8a8a2)
